defined_class	defined_class_name	attribute1	attribute1_name	attribute2	attribute2_name	exact_synonyms	broad_synonyms	narrow_synonyms	related_synonyms	xrefs	orcids
OBA:2053051	TINAGL1/VWF protein amount ratio in blood	OBA:2052004		OBA:2052741		TINAGL1/VWF protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053052	TMSB10/TREML2 protein amount ratio in blood	OBA:2052005		OBA:2052742		TMSB10/TREML2 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053053	TMSB10/TRIAP1 protein amount ratio in blood	OBA:2052005		OBA:2052715		TMSB10/TRIAP1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053054	TMSB10/TXNRD1 protein amount ratio in blood	OBA:2052005		OBA:2052743		TMSB10/TXNRD1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053055	TMSB10/ZBTB16 protein amount ratio in blood	OBA:2052005		OBA:2052728		TMSB10/ZBTB16 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053056	TNC/VCAM1 protein amount ratio in blood	OBA:2052006		OBA:2052744		TNC/VCAM1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053057	TNFRSF11A/TNFRSF1A protein amount ratio in blood	OBA:2052007		OBA:2051975		TNFRSF11A/TNFRSF1A protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053058	TNFRSF11A/TNFRSF1B protein amount ratio in blood	OBA:2052007		OBA:2052724		TNFRSF11A/TNFRSF1B protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053059	TNFRSF11B/TNFSF11 protein amount ratio in blood	OBA:2052008		OBA:2052745		TNFRSF11B/TNFSF11 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053060	HMBS/UBAC1 protein amount ratio in blood	OBA:2051991		OBA:2052746		HMBS/UBAC1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053061	HMOX2/TDRKH protein amount ratio in blood	OBA:2052009		OBA:2051997		HMOX2/TDRKH protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053062	HNMT/RBP5 protein amount ratio in blood	OBA:2052010		OBA:2052747		HNMT/RBP5 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053063	HNMT/SETMAR protein amount ratio in blood	OBA:2052010		OBA:2052748		HNMT/SETMAR protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053064	HNRNPK/USP8 protein amount ratio in blood	OBA:2052011		OBA:2051981		HNRNPK/USP8 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053065	HNRNPK/VASH1 protein amount ratio in blood	OBA:2052011		OBA:2051982		HNRNPK/VASH1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053066	HPCAL1/LAT protein amount ratio in blood	OBA:2052012		OBA:2052501		HPCAL1/LAT protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053067	HPCAL1/MPIG6B protein amount ratio in blood	OBA:2052012		OBA:2052387		HPCAL1/MPIG6B protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053068	HPCAL1/NUDC protein amount ratio in blood	OBA:2052012		OBA:2052749		HPCAL1/NUDC protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
