Ontology ID	Type	Obsolete	Replacement Term
http://purl.obolibrary.org/obo/OBA_0004087	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010524
http://purl.obolibrary.org/obo/OBA_0004095	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010019
http://purl.obolibrary.org/obo/OBA_0004101	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010466
http://purl.obolibrary.org/obo/OBA_0004543	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010496
http://purl.obolibrary.org/obo/OBA_0004614	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010144
http://purl.obolibrary.org/obo/OBA_0004680	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010423
http://purl.obolibrary.org/obo/OBA_0004681	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010421
http://purl.obolibrary.org/obo/OBA_0004682	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010424
http://purl.obolibrary.org/obo/OBA_0004683	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010428
http://purl.obolibrary.org/obo/OBA_0004684	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010430
http://purl.obolibrary.org/obo/OBA_0005707	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010420
http://purl.obolibrary.org/obo/OBA_1000873	owl:Class	true	http://purl.obolibrary.org/obo/OBA_1000236
http://purl.obolibrary.org/obo/OBA_1001018	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0001259
http://purl.obolibrary.org/obo/OBA_1001019	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004552
http://purl.obolibrary.org/obo/OBA_1001020	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0007028
http://purl.obolibrary.org/obo/OBA_1001021	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004981
http://purl.obolibrary.org/obo/OBA_1001022	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004726
http://purl.obolibrary.org/obo/OBA_1001023	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004721
http://purl.obolibrary.org/obo/OBA_1001024	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0005629
http://purl.obolibrary.org/obo/OBA_1001025	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0002707
http://purl.obolibrary.org/obo/OBA_1001026	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0007027
http://purl.obolibrary.org/obo/OBA_1001027	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004722
http://purl.obolibrary.org/obo/OBA_1001028	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000641
http://purl.obolibrary.org/obo/OBA_1001029	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0002176
http://purl.obolibrary.org/obo/OBA_1001030	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004528
http://purl.obolibrary.org/obo/OBA_1001031	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004257
http://purl.obolibrary.org/obo/OBA_1001032	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004951
http://purl.obolibrary.org/obo/OBA_1001033	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004725
http://purl.obolibrary.org/obo/OBA_1001034	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004720
http://purl.obolibrary.org/obo/OBA_1001035	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0007033
http://purl.obolibrary.org/obo/OBA_1001036	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000711
http://purl.obolibrary.org/obo/OBA_1001037	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0005027
http://purl.obolibrary.org/obo/OBA_1001038	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0005562
http://purl.obolibrary.org/obo/OBA_1001039	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0003402
http://purl.obolibrary.org/obo/OBA_1001040	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004954
http://purl.obolibrary.org/obo/OBA_1001041	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0007026
http://purl.obolibrary.org/obo/OBA_1001042	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004724
http://purl.obolibrary.org/obo/OBA_1001043	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0004598
http://purl.obolibrary.org/obo/OBA_1001044	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0007031
