iri	entity	attribute
OBA_1000128	GO_1990413	PATO_0000014
OBA_1000129	GO_0005623	PATO_0000014
OBA_1000130	GO_0005634	PATO_0001334
OBA_1000131	GO_1990413	PATO_0002261
OBA_1000132	GO_0097618	PATO_0000052
OBA_1000133	GO_0097683	PATO_0000052
OBA_1000134	GO_0097684	PATO_0000052
OBA_1000135	GO_0097686	PATO_0000052
OBA_1000136	GO_0097687	PATO_0000052
OBA_1000137	UBERON_0001852	PATO_0000918
OBA_1000138	UBERON_0001474	PATO_0000117
OBA_1000139	UBERON_0000982	PATO_0001543
OBA_1000140	UBERON_0013204	PATO_0000117
OBA_1000141	UBERON_0013204	PATO_0001019
OBA_1000142	GO_0031982	PATO_0000117
OBA_1000143	UBERON_0001473	PATO_0000117
OBA_1000144	UBERON_0001473	PATO_0000970
OBA_1000145	UBERON_0001473	PATO_0000001
OBA_1000146	GO_0005789	PATO_0000970
OBA_VT0000000	UBERON_0006539	PATO_0000051
OBA_VT0000002	UBERON_0000033	PATO_0000117
OBA_VT0000003	UBERON_0001013	PATO_0000051
OBA_VT0000005	UBERON_0002078	PATO_0000117
OBA_VT0000006	UBERON_0001043	PATO_0000117
OBA_VT0000010	UBERON_0003427	PATO_0000051
OBA_VT0000012	UBERON_0002079	PATO_0000117
OBA_VT0000013	UBERON_0001013	PATO_0000060
OBA_VT0000017	UBERON_0001691	PATO_0000117
OBA_VT0000018	UBERON_0004143	PATO_0000051
OBA_VT0000019	UBERON_0002078	PATO_0000051
OBA_VT0000020	UBERON_0002079	PATO_0000051
OBA_VT0000022	UBERON_0001691	PATO_0000052
OBA_VT0000024	UBERON_0006618	PATO_0000051
OBA_VT0000025	UBERON_0002133	PATO_0000051
OBA_VT0000026	UBERON_0001846	PATO_0000051
OBA_VT0000027	UBERON_0000033	PATO_0000921
OBA_VT0000028	UBERON_0002825	PATO_0000051
OBA_VT0000029	UBERON_0001689	PATO_0000051
OBA_VT0000030	UBERON_0002218	PATO_0000051
OBA_VT0000031	UBERON_0001844	PATO_0000051
OBA_VT0000033	UBERON_0002135	PATO_0000051
OBA_VT0000034	UBERON_0001349	PATO_0000051
OBA_VT0000035	UBERON_0001849	PATO_0000051
OBA_VT0000036	UBERON_0002134	PATO_0000051
OBA_VT0000037	UBERON_0001843	PATO_0000051
OBA_VT0000038	UBERON_0000033	PATO_0000122
OBA_VT0000039	UBERON_0004637	PATO_0000051
OBA_VT0000040	UBERON_0002137	PATO_0000051
OBA_VT0000041	UBERON_0001860	PATO_0000117
OBA_VT0000042	UBERON_0002227	PATO_0000051
OBA_VT0000044	UBERON_0002146	PATO_0000051
OBA_VT0000045	CL_0000855	PATO_0000051
OBA_VT0000046	UBERON_0009038	PATO_0000051
OBA_VT0000047	UBERON_0000033	PATO_0001648
OBA_VT0000048	UBERON_0002282	PATO_0000051
OBA_VT0000049	UBERON_0001756	PATO_0000051
OBA_VT0000051	UBERON_0000473	PATO_0001509
OBA_VT0000058	UBERON_0004125	PATO_0000051
OBA_VT0000061	CL_0000746	PATO_0000051
OBA_VT0000062	UBERON_0004124	PATO_0000051
OBA_VT0000063	UBERON_0002494	PATO_0000051
OBA_VT0000065	UBERON_0002484	PATO_0000051
OBA_VT0000072	UBERON_0001474	PATO_0001031
OBA_VT0000074	UBERON_0001703	PATO_0000051
OBA_VT0000075	UBERON_0000120	PATO_0000051
OBA_VT0000076	UBERON_0004339	PATO_0000051
OBA_VT0000077	UBERON_0002229	PATO_0000051
OBA_VT0000078	UBERON_0004747	PATO_0000051
OBA_VT0000079	UBERON_0001692	PATO_0000051
OBA_VT0000080	UBERON_0001693	PATO_0000051
OBA_VT0000084	UBERON_0002221	PATO_0000051
OBA_VT0000085	UBERON_0003210	PATO_0000051
OBA_VT0000087	UBERON_0001982	PATO_0000051
OBA_VT0000098	UBERON_0002396	PATO_0000051
OBA_VT0000100	UBERON_0001679	PATO_0000051
OBA_VT0000102	UBERON_0001681	PATO_0000051
OBA_VT0000104	UBERON_0001677	PATO_0000051
OBA_VT0000106	UBERON_0006428	PATO_0000051
OBA_VT0000107	UBERON_0000209	PATO_0000051
OBA_VT0000109	UBERON_0000210	PATO_0000051
OBA_VT0000124	UBERON_0001091	PATO_0001555
OBA_VT0000125	UBERON_0004141	PATO_0000051
OBA_VT0000126	UBERON_0001091	PATO_0001230
OBA_VT0000130	UBERON_0002483	PATO_0000051
OBA_VT0000131	UBERON_0001437	PATO_0000051
OBA_VT0000132	UBERON_0001437	PATO_0000921
OBA_VT0000133	UBERON_0001438	PATO_0000051
OBA_VT0000134	UBERON_0001439	PATO_0000915
OBA_VT0000135	UBERON_0004145	PATO_0000051
OBA_VT0000136	CL_0000129	PATO_0000051
OBA_VT0000137	UBERON_0002412	PATO_0000051
OBA_VT0000138	UBERON_0002412	PATO_0001555
OBA_VT0000139	UBERON_0003109	PATO_0000051
OBA_VT0000140	UBERON_0001078	PATO_0000051
OBA_VT0000141	UBERON_0001075	PATO_0000051
OBA_VT0000142	UBERON_0001691	PATO_0000915
OBA_VT0000149	UBERON_0001124	PATO_0000051
OBA_VT0000150	UBERON_0002228	PATO_0000051
OBA_VT0000152	UBERON_0010388	PATO_0000051
OBA_VT0000157	UBERON_0000975	PATO_0000051
OBA_VT0000159	UBERON_0002207	PATO_0000051
OBA_VT0000163	UBERON_0002418	PATO_0000051
OBA_VT0000165	UBERON_0006772	PATO_0000051
OBA_VT0000166	CL_0000138	PATO_0000051
OBA_VT0000167	CL_0000138	PATO_0001555
OBA_VT0000170	UBERON_0001981	PATO_0001509
OBA_VT0000171	UBERON_0000178	PATO_0001509
OBA_VT0000173	UBERON_0001473	PATO_0001509
OBA_VT0000174	UBERON_0002391	PATO_0001509
OBA_VT0000182	UBERON_0000178	PATO_0001574
OBA_VT0000183	UBERON_0000178	PATO_0001025
OBA_VT0000187	CHEBI_17855	PATO_0000070
OBA_VT0000190	UBERON_0001981	PATO_0000970
OBA_VT0000192	CHEBI_46662	PATO_0000070
OBA_VT0000217	CL_0000738	PATO_0000070
OBA_VT0000222	CL_0000775	PATO_0000070
OBA_VT0000223	CL_0000576	PATO_0000070
OBA_VT0000237	CL_0000988	PATO_0001555
OBA_VT0000240	GO_0030097	PATO_0000140
OBA_VT0000248	CL_0000232	PATO_0000117
OBA_VT0000254	UBERON_0001359	PATO_0000918
OBA_VT0000259	UBERON_0001982	PATO_0000970
OBA_VT0000266	UBERON_0000948	PATO_0000051
OBA_VT0000268	UBERON_0001037	PATO_0000070
OBA_VT0000272	UBERON_0000947	PATO_0000051
OBA_VT0000277	UBERON_0000948	PATO_0000052
OBA_VT0000285	UBERON_0000946	PATO_0000052
OBA_VT0000288	UBERON_0002407	PATO_0000051
OBA_VT0000319	UBERON_0001852	PATO_0001509
OBA_VT0000334	CL_0000094	PATO_0001555
OBA_VT0000336	CL_0000097	PATO_0001555
OBA_VT0000340	UBERON_0001845	PATO_0001509
OBA_VT0000341	UBERON_0001970	PATO_0000014
OBA_VT0000344	CL_0000695	PATO_0000051
OBA_VT0000353	UBERON_0004681	PATO_0001509
OBA_VT0000357	UBERON_0002101	PATO_0001555
OBA_VT0000359	CL_0000097	PATO_0000051
OBA_VT0000367	UBERON_0001037	PATO_0000051
OBA_VT0000379	UBERON_0002073	PATO_0001555
OBA_VT0000383	UBERON_0002073	PATO_0000133
OBA_VT0000384	UBERON_0002073	PATO_0000060
OBA_VT0000385	UBERON_0002073	PATO_0000117
OBA_VT0000413	UBERON_0003221	PATO_0001555
OBA_VT0000416	UBERON_0001037	PATO_0001019
OBA_VT0000417	UBERON_0001037	PATO_0000122
OBA_VT0000424	UBERON_0001037	PATO_0001492
OBA_VT0000430	UBERON_0005871	PATO_0000051
OBA_VT0000431	UBERON_0005619	PATO_0000051
OBA_VT0000432	UBERON_0000033	PATO_0000051
OBA_VT0000438	UBERON_0003129	PATO_0000051
OBA_VT0000443	UBERON_0006333	PATO_0000051
OBA_VT0000444	UBERON_0006333	PATO_0000052
OBA_VT0000446	UBERON_0006333	PATO_0000122
OBA_VT0000449	UBERON_0008340	PATO_0000921
OBA_VT0000452	UBERON_0000165	PATO_0000051
OBA_VT0000454	UBERON_0001708	PATO_0000051
OBA_VT0000455	UBERON_0002397	PATO_0000051
OBA_VT0000458	UBERON_0001710	PATO_0000051
OBA_VT0000461	UBERON_0004451	PATO_0001555
OBA_VT0000462	UBERON_0001007	PATO_0000051
OBA_VT0000467	UBERON_0001043	PATO_0000051
OBA_VT0000468	UBERON_0001976	PATO_0000051
OBA_VT0000469	UBERON_0006920	PATO_0000051
OBA_VT0000470	UBERON_0000945	PATO_0000051
OBA_VT0000471	UBERON_0001276	PATO_0000051
OBA_VT0000472	UBERON_0006921	PATO_0000051
OBA_VT0000473	UBERON_0006924	PATO_0000051
OBA_VT0000474	UBERON_0001041	PATO_0000051
OBA_VT0000477	UBERON_0000160	PATO_0000051
OBA_VT0000479	CL_0000584	PATO_0000051
OBA_VT0000481	CL_0000584	PATO_0001555
OBA_VT0000482	UBERON_0001446	PATO_0000122
OBA_VT0000484	UBERON_0002012	PATO_0000051
OBA_VT0000488	UBERON_0001277	PATO_0000051
OBA_VT0000489	UBERON_0000059	PATO_0000051
OBA_VT0000490	UBERON_0001983	PATO_0000051
OBA_VT0000492	UBERON_0001052	PATO_0000051
OBA_VT0000494	UBERON_0001153	PATO_0000051
OBA_VT0000495	UBERON_0001155	PATO_0000051
OBA_VT0000496	UBERON_0002108	PATO_0000051
OBA_VT0000497	UBERON_0002108	PATO_0000140
OBA_VT0000511	UBERON_0001242	PATO_0000051
OBA_VT0000516	UBERON_0001008	PATO_0000051
OBA_VT0000521	UBERON_0001225	PATO_0000051
OBA_VT0000524	UBERON_0001231	PATO_0001555
OBA_VT0000526	UBERON_0004200	PATO_0000117
OBA_VT0000530	UBERON_0003517	PATO_0000051
OBA_VT0000534	UBERON_0000056	PATO_0000051
OBA_VT0000537	UBERON_0000057	PATO_0000051
OBA_VT0000538	UBERON_0001255	PATO_0000051
OBA_VT0000539	UBERON_0001255	PATO_0000117
OBA_VT0000541	UBERON_0004645	PATO_0000051
OBA_VT0000544	UBERON_0004645	PATO_0000915
OBA_VT0000548	UBERON_0002101	PATO_0000122
OBA_VT0000550	UBERON_0002102	PATO_0000051
OBA_VT0000552	UBERON_0001423	PATO_0000051
OBA_VT0000554	UBERON_0004452	PATO_0000051
OBA_VT0000556	UBERON_0002103	PATO_0000051
OBA_VT0000558	UBERON_0000979	PATO_0000051
OBA_VT0000559	UBERON_0000981	PATO_0000051
OBA_VT0000572	UBERON_0002470	PATO_0000051
OBA_VT0000573	UBERON_0002387	PATO_0000117
OBA_VT0000574	UBERON_0008838	PATO_0000051
OBA_VT0000579	UBERON_0001705	PATO_0000051
OBA_VT0000580	UBERON_0001705	PATO_0000052
OBA_VT0000583	UBERON_0001705	PATO_0000122
OBA_VT0000588	UBERON_0002415	PATO_0001334
OBA_VT0000598	UBERON_0002107	PATO_0000051
OBA_VT0000599	UBERON_0002107	PATO_0000117
OBA_VT0000602	UBERON_0014399	PATO_0000117
OBA_VT0000603	UBERON_0002107	PATO_0000014
OBA_VT0000606	CL_0000182	PATO_0001555
OBA_VT0000607	CL_0000182	PATO_0000051
OBA_VT0000609	UBERON_0002107	PATO_0001509
OBA_VT0000613	UBERON_0001044	PATO_0000051
OBA_VT0000615	UBERON_0002447	PATO_0000051
OBA_VT0000620	UBERON_0001837	PATO_0000051
OBA_VT0000627	UBERON_0001911	PATO_0000051
OBA_VT0000631	UBERON_0010133	PATO_0000051
OBA_VT0000632	UBERON_0001905	PATO_0000051
OBA_VT0000633	UBERON_0000007	PATO_0000051
OBA_VT0000639	UBERON_0002369	PATO_0000051
OBA_VT0000643	UBERON_0001236	PATO_0000051
OBA_VT0000646	CL_0002097	PATO_0000051
OBA_VT0000647	UBERON_0001821	PATO_0000051
OBA_VT0000652	UBERON_0001821	PATO_0000117
OBA_VT0000653	UBERON_0003937	PATO_0000051
OBA_VT0000655	UBERON_0003937	PATO_0000117
OBA_VT0000659	UBERON_0002367	PATO_0000117
OBA_VT0000660	UBERON_0013637	PATO_0000117
OBA_VT0000661	UBERON_0007615	PATO_0000117
OBA_VT0000674	UBERON_0001820	PATO_0000051
OBA_VT0000678	UBERON_0001132	PATO_0000051
OBA_VT0000681	UBERON_0002046	PATO_0000051
OBA_VT0000685	UBERON_0002405	PATO_0000051
OBA_VT0000689	UBERON_0002106	PATO_0000141
OBA_VT0000696	UBERON_0001211	PATO_0000051
OBA_VT0000700	UBERON_0000029	PATO_0001555
OBA_VT0000701	UBERON_0000029	PATO_0000117
OBA_VT0000703	UBERON_0002370	PATO_0000141
OBA_VT0000715	CL_0000893	PATO_0001555
OBA_VT0000717	CL_0000542	PATO_0001555
OBA_VT0000740	UBERON_0001135	PATO_0001579
OBA_VT0000741	UBERON_0000381	PATO_0001579
OBA_VT0000742	UBERON_0014390	PATO_0001579
OBA_VT0000759	UBERON_0001134	PATO_0000051
OBA_VT0000761	UBERON_0001103	PATO_0000915
OBA_VT0000762	UBERON_0001723	PATO_0000051
OBA_VT0000763	UBERON_0002467	PATO_0000051
OBA_VT0000764	UBERON_0003357	PATO_0000051
OBA_VT0000765	UBERON_0006919	PATO_0000051
OBA_VT0000767	UBERON_0001135	PATO_0000051
OBA_VT0000768	UBERON_0013764	PATO_0000051
OBA_VT0000771	UBERON_0000955	PATO_0000117
OBA_VT0000776	UBERON_0001946	PATO_0000051
OBA_VT0000777	UBERON_0001946	PATO_0000117
OBA_VT0000778	UBERON_0001018	PATO_0000051
OBA_VT0000779	UBERON_0011922	PATO_0000051
OBA_VT0000780	UBERON_0002336	PATO_0000051
OBA_VT0000781	UBERON_0002336	PATO_0000117
OBA_VT0000783	UBERON_0001890	PATO_0000051
OBA_VT0000787	UBERON_0014371	PATO_0000051
OBA_VT0000788	UBERON_0000956	PATO_0000051
OBA_VT0000789	UBERON_0001950	PATO_0000915
OBA_VT0000791	UBERON_0002301	PATO_0000051
OBA_VT0000792	UBERON_0010403	PATO_0000051
OBA_VT0000794	UBERON_0001872	PATO_0000051
OBA_VT0000795	UBERON_0002581	PATO_0000051
OBA_VT0000796	UBERON_0003938	PATO_0000051
OBA_VT0000797	UBERON_0002688	PATO_0000051
OBA_VT0000798	UBERON_0001870	PATO_0000051
OBA_VT0000799	UBERON_0002703	PATO_0000051
